episode_id,execution_status,route_label,predicted_route,route_confidence,predicted_route_explanation,route_explanation,safety_gate,predicted_safety_gate
smoke_0000,natural_failure,recover_strong,recover_strong,0.7666724575514678,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0001,learned_recovery_failure,human_review,human_review,0.8563407108131954,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0002,anchored_recovery_success,demo_anchor,recover_strong,0.5282233504218374,State is close to historical failure neighborhoods with high action-outcome residual.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,automatic
smoke_0003,natural_failure,recover_strong,demo_anchor,0.6165613859290093,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,manual_or_anchor
smoke_0004,anchored_recovery_success,demo_anchor,demo_anchor,0.8260976888264521,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0005,learned_recovery_success,recover_light,recover_light,0.6023703318702106,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0006,anchored_recovery_success,demo_anchor,demo_anchor,0.8591591148538805,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0007,learned_recovery_failure,human_review,human_review,0.6230328086976801,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.84, 0.66, 0.66).","Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.84, 0.66, 0.66).",manual_or_anchor,manual_or_anchor
smoke_0008,human_review_needed,human_review,human_review,0.9664170518628666,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0009,clean_success,continue,continue,0.988044952377788,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0010,anchored_recovery_success,demo_anchor,demo_anchor,0.9491223058707502,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0011,learned_recovery_success,recover_light,recover_light,0.8983250157222813,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0012,human_review_needed,human_review,human_review,0.9847214992633062,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0013,clean_success,continue,continue,0.9993203883495145,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0014,anchored_recovery_success,demo_anchor,demo_anchor,0.9099702633823228,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0015,clean_success,continue,continue,0.6380416714309276,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0016,learned_recovery_failure,human_review,human_review,0.6244432732963329,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.87, 0.62, 0.70).","Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.87, 0.62, 0.70).",manual_or_anchor,manual_or_anchor
smoke_0017,natural_failure,recover_strong,recover_strong,0.4717665503124149,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0018,natural_failure,recover_strong,recover_strong,0.819257371690729,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0019,clean_success,continue,continue,0.9469881231787182,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0020,anchored_recovery_success,demo_anchor,demo_anchor,0.6326370340485913,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0021,natural_failure,recover_strong,recover_strong,0.7714031589426076,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0022,learned_recovery_failure,human_review,human_review,0.6949106377374243,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.79, 0.63, 0.73).","Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.79, 0.63, 0.73).",manual_or_anchor,manual_or_anchor
smoke_0023,human_review_needed,human_review,human_review,0.9240063252238716,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0024,learned_recovery_failure,human_review,human_review,0.6375630712784734,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0025,anchored_recovery_success,demo_anchor,demo_anchor,0.6578550660373332,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0026,learned_recovery_failure,human_review,human_review,0.7904098186331795,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0027,anchored_recovery_success,demo_anchor,demo_anchor,0.8232349491388684,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0028,natural_failure,recover_strong,recover_strong,0.7428199798507426,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0029,natural_failure,recover_strong,recover_strong,0.6159301692048097,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0030,natural_failure,recover_strong,recover_strong,0.7439716851058112,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0031,clean_success,continue,continue,0.6124107131795843,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0032,learned_recovery_failure,human_review,human_review,0.6692834039501512,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.78, 0.73, 0.73).","Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.78, 0.73, 0.73).",manual_or_anchor,manual_or_anchor
smoke_0033,learned_recovery_failure,human_review,human_review,0.6956601216873282,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0034,anchored_recovery_success,demo_anchor,demo_anchor,0.8397462745503568,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0035,natural_failure,recover_strong,recover_strong,0.5744233705821461,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0036,learned_recovery_failure,demo_anchor,human_review,0.46945263632742307,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.73, 0.74, 0.70).",Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0037,learned_recovery_success,recover_light,recover_light,0.9074729029906299,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0038,human_review_needed,human_review,human_review,0.9097302388130895,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0039,clean_success,continue,continue,0.9835433776579918,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0040,anchored_recovery_success,demo_anchor,demo_anchor,0.6404458701736122,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0041,clean_success,continue,continue,1.0,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0042,human_review_needed,human_review,human_review,0.8855503845365843,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0043,clean_success,continue,continue,0.9859691062195998,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0044,human_review_needed,human_review,human_review,0.9809656972997384,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0045,anchored_recovery_success,demo_anchor,demo_anchor,0.907893726970204,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0046,learned_recovery_failure,human_review,human_review,0.6981366254706367,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.75, 0.66, 0.87).","Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.75, 0.66, 0.87).",manual_or_anchor,manual_or_anchor
smoke_0047,learned_recovery_success,recover_light,recover_light,0.8810207676005684,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0048,human_review_needed,human_review,human_review,0.5644727716742135,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.61, 0.70, 0.80).","Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.61, 0.70, 0.80).",manual_or_anchor,manual_or_anchor
smoke_0049,anchored_recovery_success,demo_anchor,demo_anchor,0.8361431278136608,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
smoke_0050,natural_failure,recover_strong,recover_strong,0.5182466690205776,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0051,natural_failure,recover_strong,recover_strong,0.7480230881060549,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0052,human_review_needed,human_review,human_review,0.9628714804133348,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0053,natural_failure,human_review,recover_strong,0.6684859923984985,State is close to historical failure neighborhoods with high action-outcome residual.,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.69, 0.53, 0.71).",manual_or_anchor,automatic
smoke_0054,human_review_needed,human_review,human_review,0.9795227515759454,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0055,learned_recovery_success,recover_light,recover_light,0.5187272725043611,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0056,human_review_needed,human_review,human_review,0.9424743535203542,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0057,natural_failure,recover_strong,recover_strong,0.7050040479589387,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0058,learned_recovery_failure,human_review,human_review,0.665481399663584,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.84, 0.69, 0.66).","Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.84, 0.69, 0.66).",manual_or_anchor,manual_or_anchor
smoke_0059,learned_recovery_success,recover_light,recover_light,0.8608323739503316,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0060,learned_recovery_success,recover_light,recover_light,0.8844079343216913,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0061,learned_recovery_failure,human_review,human_review,0.6748060769541336,"Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.92, 0.61, 0.84).","Automatic recovery is not trusted under the current residual, risk, and failure-neighbor pattern (0.92, 0.61, 0.84).",manual_or_anchor,manual_or_anchor
smoke_0062,learned_recovery_success,recover_light,recover_light,0.9565789516356475,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0063,clean_success,continue,continue,0.9658192141550997,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0064,natural_failure,recover_strong,recover_strong,0.7581901944738734,State is close to historical failure neighborhoods with high action-outcome residual.,State is close to historical failure neighborhoods with high action-outcome residual.,automatic,automatic
smoke_0065,clean_success,continue,continue,0.9311633921485819,State remains close to the success manifold with strong progress and low residual.,State remains close to the success manifold with strong progress and low residual.,automatic,automatic
smoke_0066,learned_recovery_success,recover_light,recover_light,0.8777612349820885,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0067,learned_recovery_success,recover_light,recover_light,0.9765058894242865,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0068,human_review_needed,human_review,human_review,0.9699535940859754,Retrieval confidence is low and start risk is high; visual or goal state needs review.,Retrieval confidence is low and start risk is high; visual or goal state needs review.,manual_or_anchor,manual_or_anchor
smoke_0069,learned_recovery_success,recover_light,recover_light,0.9972399618340179,State is near the success manifold but progress has mildly stalled.,State is near the success manifold but progress has mildly stalled.,automatic,automatic
smoke_0070,anchored_recovery_success,demo_anchor,demo_anchor,0.7951146902684972,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,Retrieval evidence is uncertain enough to prefer a demonstration-anchored recovery.,manual_or_anchor,manual_or_anchor
